MUNICIPIO;CODIGO_MUNICIPIO;BAIRRO;LATITUDE;LONGITUDE;RURAL
SABARA;315670;RAVENA;-19,73705556;-43,75588889;1
SANTA LUZIA;315780;PALMITAL;-19,7708791;-43,9332177;0
JABOTICATUBAS;313460;ZONA RURAL;-19,46080556;-43,83494167;1
SANTA LUZIA;315780;NOSSA SENHORA DO CARMO;-19,7753389;-43,8680133;0
RAPOSOS;315390;INVÁLIDO;-19,9448876;-43,8259076;1
SANTA LUZIA;315780;DUQUEZA II;-19,7691872;-43,9048707;1
SABARA;315670;ROSARIO I;-19,8849691;-43,8155237;0
SAO JOSE DA LAPA;316295;CAPIM SECO;-19,689699012537;-43,984826803207;1
SANTA LUZIA;315780;VILA NOVA ESPERANÇA;-19,7622779;-43,9334838;0
SANTA LUZIA;315780;BOM DESTINO;-19,8233775;-43,8308088;0
CAETE;311000;BOM SUCESSO;-19,8910819;-43,6583811;0
MARIANA;314000;SAO CRISTOVAO;-20,3579473;-43,4197416;0
LAGOA SANTA;313760;VILA PINTO COELHO;-19,6242187;-43,8978354;0
ITABIRITO;313190;ALTO DA ANTENA;-20,2552983;-43,7891021;0
SANTA LUZIA;315780;BOM DESTINO;-19,8240306;-43,8313664;1
SANTA LUZIA;315780;INVÁLIDO;-19,8227718;-43,8279174;0
LAGOA SANTA;313760;SANTOS DUMONT II;-19,6460068;-43,9031559;0
SANTA LUZIA;315780;INDUSTRIAL AMERICANO;-19,7591066;-43,835131;0
ITABIRITO;313190;BELA VISTA;-20,2550767;-43,796652;0
SABARA;315670;ADELMOLANDIA;-19,9046422;-43,8116831;0
MARIANA;314000;PASSAGEM DE MARIANA;-20,3922855;-43,4456392;0
CAETE;311000;SAO GERALDO;-19,9051509;-43,6714877;0
SAO JOSE DA LAPA;316295;CAPIM SECO;-19,688309217051;-43,981930017471;1
VESPASIANO;317120;NOVA PAMPULHA;-19,778203791374;-43,96374464035;0
LAGOA SANTA;313760;JOA;-19,6417501;-43,8745331;0
NOVA LIMA;314480;RETIRO DO CHALE;-20,19213889;-43,97794444;1
OURO PRETO;314610;INVÁLIDO;-20,3483683;-43,7706867;0
LAGOA SANTA;313760;VILA MARIA II;-19,6091281;-43,91027;0
JABOTICATUBAS;313460;CENTRO;-19,5194749;-43,7436214;0
MARIANA;314000;SANTA CLARA;-20,3956496;-43,4220413;0
JABOTICATUBAS;313460;CENTRO;-19,52116667;-43,75975;0
VESPASIANO;317120;COND. MANGUEIRAS;-19,7611951;-43,9564074;0
SAO JOSE DA LAPA;316295;CHACARAS CACHOEIRA;-19,7136043;-43,9802472;0
SANTA LUZIA;315780;PALMITAL;-19,7629763;-43,9344976;0
CONFINS;311787;INVÁLIDO;-19,6171769;-43,9883273;0
SANTA LUZIA;315780;INVÁLIDO;-19,6209305;-43,7912253;1
VESPASIANO;317120;VILA ESPORTIVA;-19,7476494;-43,9462893;0
OURO PRETO;314610;MORRO SANTANA;-20,3794567;-43,4848434;0
CAETE;311000;EMBOABAS;-19,9041451;-43,674662;0
SANTA LUZIA;315780;PALMITAL;-19,7655604;-43,929337;0
VESPASIANO;317120;NOVA PAMPULHA;-19,768748665587;-43,956288099289;0
VESPASIANO;317120;MORRO ALTO;-19,765482402639;-43,955993056297;0
VESPASIANO;317120;NOVA PAMPULHA;-19,769642758696;-43,958176374435;0
CONFINS;311787;CENTRO;-19,6286669;-43,9893517;0
VESPASIANO;317120;VIDA NOVA;-19,768713327706;-43,983689546585;0
NOVA LIMA;314480;SILICOTICOS;-19,9863745;-43,8733877;1
OURO PRETO;314610;NOSSA SENHORA DA PIEDADE;-20,3848193;-43,4855018;0
MARIANA;314000;JARDIM DOS INCONFIDENTES;-20,3627111;-43,4179478;0
SABARA;315670;CENTRO;-19,8924268;-43,8122869;0
SANTA LUZIA;315780;BOM DESTINO;-19,8234065;-43,8297948;0
NOVA LIMA;314480;PAU POMBO;-19,9990819;-43,8890459;0
SANTA LUZIA;315780;DONA ROSARINHA;-19,8052332;-43,8939449;0
LAGOA SANTA;313760;VARZEA;-19,6431215;-43,8823831;0
VESPASIANO;317120;NOVO HORIZONTE;-19,7624406;-43,9535263;0
MARIANA;314000;CACHOEIRA DO BRUMADO;0;0;0
SANTA LUZIA;315780;SAO BENEDITO;-19,7935521;-43,9396102;0
MARIANA;314000;INVÁLIDO;-20,3577237;-43,2098726;0
SANTA LUZIA;315780;FRIMISA;-19,759108;-43,878915;0
NOVA LIMA;314480;INVÁLIDO;-19,9798468;-43,8643191;1
CAETE;311000;PITO ACESO;-19,9027485;-43,6649644;0
VESPASIANO;317120;IMPERIAL;-19,72955556;-43,92066667;0
RAPOSOS;315390;VILA VITORIA;-19,9582793;-43,806656;0
LAGOA SANTA;313760;VILA NOSSA SENHORA DE LOURDES;-19,6505545;-43,8741548;0
VESPASIANO;317120;JARDIM DA GLORIA;-19,7569708;-43,9492366;0
